Date,Open,High,Low,Close,Adj Close,Volume
2017-03-30,1.244091,1.252332,1.240541,1.244044,1.244044,0
2017-03-31,1.247692,1.253698,1.243487,1.247847,1.247847,0
2017-04-03,1.253919,1.255493,1.246727,1.254076,1.254076,0
2017-04-04,1.248907,1.249688,1.242205,1.249219,1.249219,0
2017-04-05,1.244214,1.249485,1.242468,1.243998,1.243998,0
2017-04-06,1.248751,1.250250,1.245237,1.248907,1.248907,0
2017-04-07,1.246883,1.247816,1.238605,1.246867,1.246867,0
2017-04-10,1.237670,1.242900,1.236904,1.237517,1.237517,0
2017-04-11,1.242699,1.249032,1.240602,1.242545,1.242545,0
2017-04-12,1.249219,1.252035,1.248128,1.249235,1.249235,0
2017-04-13,1.254863,1.257703,1.251142,1.254989,1.254989,0
2017-04-14,1.250625,1.253761,1.250188,1.250782,1.250782,0
2017-04-17,1.253761,1.259604,1.253227,1.253510,1.253510,0
2017-04-18,1.255777,1.276797,1.251987,1.255777,1.255777,0
2017-04-19,1.284687,1.285942,1.278805,1.284456,1.284456,0
2017-04-20,1.278102,1.284687,1.277302,1.278233,1.278233,0
2017-04-21,1.279935,1.283368,1.276194,1.280197,1.280197,0
2017-04-24,1.282874,1.283203,1.277335,1.282627,1.282627,0
2017-04-25,1.278119,1.284604,1.277629,1.277661,1.277661,0
2017-04-26,1.283368,1.286356,1.280656,1.283236,1.283236,0
2017-04-27,1.285033,1.291322,1.284373,1.284835,1.284835,0
2017-04-28,1.289491,1.295337,1.289275,1.289358,1.289358,0
2017-05-01,1.293226,1.293828,1.290306,1.293159,1.293159,0
2017-05-02,1.289807,1.292825,1.286654,1.289740,1.289740,0
2017-05-03,1.294331,1.295001,1.288544,1.294163,1.294163,0
2017-05-04,1.287316,1.292324,1.283236,1.287167,1.287167,0
2017-05-05,1.292608,1.296832,1.290306,1.292491,1.292491,0
2017-05-08,1.296866,1.298701,1.293159,1.296563,1.296563,0
2017-05-09,1.294197,1.295874,1.290456,1.294331,1.294331,0
2017-05-10,1.295001,1.299039,1.292892,1.294850,1.294850,0
2017-05-11,1.292942,1.295001,1.285050,1.293059,1.293059,0
2017-05-12,1.288876,1.290156,1.284554,1.289158,1.289158,0
2017-05-15,1.288477,1.294163,1.288460,1.288660,1.288660,0
2017-05-16,1.290289,1.294934,1.286852,1.290306,1.290306,0
2017-05-17,1.291706,1.299005,1.290956,1.291689,1.291689,0
2017-05-18,1.296983,1.304802,1.293745,1.297017,1.297017,0
2017-05-19,1.295337,1.303475,1.294297,1.295840,1.295840,0
2017-05-22,1.300931,1.304257,1.296647,1.301219,1.301219,0
2017-05-23,1.299207,1.302728,1.295454,1.299528,1.299528,0
2017-05-24,1.295773,1.299917,1.293176,1.295656,1.295656,0
2017-05-25,1.297774,1.300728,1.293427,1.298027,1.298027,0
2017-05-26,1.292992,1.293159,1.277906,1.293326,1.293326,0
2017-05-29,1.281394,1.285017,1.281246,1.281427,1.281427,0
2017-05-30,1.281493,1.288809,1.279558,1.281411,1.281411,0
2017-05-31,1.280918,1.291723,1.277172,1.280902,1.280902,0
2017-06-01,1.287548,1.291322,1.283186,1.287548,1.287548,0
2017-06-02,1.288660,1.290273,1.284670,1.288826,1.288826,0
2017-06-05,1.286571,1.293996,1.286157,1.287001,1.287001,0
2017-06-06,1.290672,1.294917,1.287498,1.290739,1.290739,0
2017-06-07,1.290672,1.296580,1.288892,1.290672,1.290672,0
2017-06-08,1.296227,1.298027,1.290972,1.296210,1.296210,0
2017-06-09,1.272588,1.279885,1.264223,1.272297,1.272297,0
2017-06-12,1.274405,1.276976,1.265006,1.273918,1.273918,0
2017-06-13,1.267026,1.274697,1.264334,1.266978,1.266978,0
2017-06-14,1.275071,1.281148,1.272508,1.275055,1.275055,0
2017-06-15,1.275657,1.279476,1.269213,1.275445,1.275445,0
2017-06-16,1.276080,1.280295,1.275998,1.275836,1.275836,0
2017-06-19,1.277498,1.281525,1.272734,1.277955,1.277955,0
2017-06-20,1.273107,1.275526,1.260637,1.273237,1.273237,0
2017-06-21,1.263264,1.270906,1.259081,1.263248,1.263248,0
2017-06-22,1.267588,1.268713,1.265486,1.267572,1.267572,0
2017-06-23,1.268070,1.274372,1.267732,1.267813,1.267813,0
2017-06-26,1.274405,1.275998,1.270777,1.274340,1.274340,0
2017-06-27,1.272426,1.279476,1.271763,1.272459,1.272459,0
2017-06-28,1.281296,1.297236,1.279738,1.281296,1.281296,0
2017-06-29,1.293912,1.300103,1.293912,1.294147,1.294147,0
2017-06-30,1.300898,1.303101,1.295622,1.301118,1.301118,0
2017-07-03,1.301744,1.302253,1.293326,1.301643,1.301643,0
2017-07-04,1.294632,1.295840,1.291789,1.294867,1.294867,0
2017-07-05,1.293661,1.294834,1.289574,1.293494,1.293494,0
2017-07-06,1.292959,1.297219,1.292056,1.293176,1.293176,0
2017-07-07,1.296882,1.297690,1.286836,1.297353,1.297353,0
2017-07-10,1.289042,1.290989,1.286058,1.289125,1.289125,0
2017-07-11,null,null,null,null,null,null
2017-07-12,1.286008,1.290522,1.281263,1.285959,1.285959,0
2017-07-13,1.289225,1.295286,1.289075,1.289374,1.289374,0
2017-07-14,1.294834,1.309415,1.293661,1.294716,1.294716,0
2017-07-17,1.310960,1.311303,1.305125,1.311131,1.311131,0
2017-07-18,1.305142,1.312388,1.300678,1.305313,1.305313,0
2017-07-19,1.303713,1.305176,1.301304,1.303866,1.303866,0
2017-07-20,1.303118,1.303611,1.293544,1.303271,1.303271,0
2017-07-21,1.296580,1.301982,1.295555,1.296546,1.296546,0
2017-07-24,1.300542,1.305262,1.299207,1.300475,1.300475,0
2017-07-25,1.302677,1.308421,1.301168,1.303101,1.303101,0
